Область,Район,ОТГ,Населений пункт,Що цікавого ,Веб-ресурси
Київська область,,,,,
Київська,Броварський,Зазимська,Погреби,,
Київська,Броварський,Зазимська,Зазим'я,,
Київська,Броварський,Зазимська,Пухівка,,
Київська,Броварський,Зазимська,Рожівка,,
Київська,Броварський,Зазимська,Рожни,,
Київська,Броварський,Зазимська,Літки,,
Київська,Броварський,Зазимська,Соболівка,,
Київська,Броварський,Зазимська,Літочки,,
Київська,Вишгородський,Вишгородська міська громада,Осещина,,
Київська,Вишгородський,Вишгородська міська громада,Хотянівка,,
Київська,Вишгородський,Пірнівська сільська громада,Новосілки,,
Київська,Вишгородський,Пірнівська сільська громада,Нижча Дубечня,,
Київська,Вишгородський,Пірнівська сільська громада,Вища Дубечня,,
Київська,Вишгородський,Пірнівська сільська громада,Пірнове,,
Київська,Вишгородський,Пірнівська сільська громада,Воропаїв,,
Київська,Вишгородський,Пірнівська сільська громада,Жукин,,
Київська,Вишгородський,Пірнівська сільська громада,Боденьки,,
Київська,Вишгородський,Пірнівська сільська громада,Сувид,,
,,,,,
Чернігівська область ,,,,,
Чернігівська ,Чернігівський,Остерська,Крехаїв ,,
Чернігівська ,Чернігівський,Остерська,Євминка,,
Чернігівська ,Чернігівський,Остерська,Беремицьке,,
Чернігівська ,Чернігівський,Остерська,Поліське,,
Чернігівська ,Чернігівський,Остерська,Остер,,
Чернігівська ,Чернігівський,Остерська,Жуківщина,,
Чернігівська ,Чернігівський,Остерська,Набільське,,
Чернігівська ,Чернігівський,Остерська,Любечанинів,,
Чернігівська ,Чернігівський,Остерська,Крені,,
Чернігівська ,Чернігівський,Остерська,Кошани,,
Чернігівська ,Чернігівський,Остерська,Романьки,,
Чернігівська ,Чернігівський,Остерська,Бірки,,
Чернігівська ,Чернігівський,Остерська,Дешки,,
Чернігівська ,Козелецький,Козелецька,Тарасів,,
Чернігівська ,Козелецький,Козелецька,Опеньки,,
Чернігівська ,Чернігівський,Остерська,Самсони,,
Чернігівська ,Чернігівський,Остерська,Одинці,,
Чернігівська ,Чернігівський,Остерська,Бабарики,,
Чернігівська ,Чернігівський,Остерська,Волевачі,,
Чернігівська ,Козелецький,Козелецька,Скрипчин,,
Чернігівська ,Козелецький,Козелецька,Бобруйки,,
Чернігівська ,Козелецький,Козелецька,Пушкарі,,
Чернігівська ,Козелецький,Козелецька,Шами,,
Чернігівська ,Козелецький,Козелецька,Білейки,,
