Кодифікатор,Код об'єкта КОАТУУ ,Категорія об’єкта,Назва об’єкта
UA01000000000013043,0100000000,О,Автономна Республіка Крим
UA01020000000022387,0120400000,Р,Бахчисарайський
UA01020010000048857,8536990200,Н,Андріївська 
UA01020010010075540,8536990201,С,Андріївка
UA01020010020030666,8536990203,Х,Сонячний
UA01020030000085835,0120480400,Н,Ароматненська 
UA01020030010043419,0120480401,С,Ароматне
UA01020030020095516,0120480402,С,Вікторівка
UA01020030030055891,0120480403,С,Маловидне
UA01020030040087481,0120480404,С,Рєпіне
UA01020030050049624,0120480405,С,Розове
UA01020050000056842,0120410100,Н,Бахчисарайська 
UA01020050010045207,0120410100,М,Бахчисарай
UA01020050020067441,0120445100,Т,Научний
UA01020070000057731,8536990500,Н,Верхньосадівська 
UA01020070010032091,8536990501,С,Верхньосадове
UA01020070020014815,8536990503,С,Дальнє
UA01020070030047085,8536990504,С,Камишли
UA01020070040094944,8536990505,С,Пироговка
UA01020070050086891,8536990507,С,Поворотне
UA01020070060053271,8536990509,С,Фронтове
UA01020070070045196,8536990511,С,Фруктове
UA01020090000085519,0120480800,Н,Верхоріченська 
UA01020090010083010,0120480801,С,Верхоріччя
UA01020090020067096,0120480802,С,Баштанівка
UA01020090030041920,0120480803,С,Кудрине
UA01020090040049851,0120480804,С,Машине
UA01020090050034207,0120480806,С,Передущельне
UA01020090060030677,0120480807,С,Синапне
UA01020110000025392,0120481300,Н,Вілінська 
UA01020110010021583,0120481301,С,Віліне
UA01020110020095792,0120481302,С,Розсадне
UA01020130000011846,0120481900,Н,Голубинська 
UA01020130010087113,0120481901,С,Голубинка
UA01020130020090866,0120481902,С,Аромат
UA01020130030030071,0120481903,С,Багата Ущелина
UA01020130040048667,0120481904,С,Нижня Голубинка
UA01020130050032578,0120481905,С,Новопілля
UA01020130060054004,0120481906,С,Поляна
UA01020130070069789,0120481907,С,Путилівка
UA01020130080078137,0120481908,С,Соколине
UA01020130090090603,0120481909,С,Сонячносілля
UA01020150000013553,0120482200,Н,Долинненська 
UA01020150010060092,0120482201,С,Долинне
UA01020150020085470,0120482203,С,Актачи
UA01020150030038136,0120482202,С,Новеньке
UA01020170000026113,0120482500,Н,Залізничненська 
UA01020170010043902,0120482501,С,Залізничне
UA01020170020089142,0120482502,С,Білокам’яне
UA01020170030079411,0120482503,С,Дачне
UA01020170040066352,0120482504,С,Мостове
UA01020170050089604,0120482505,С,Річне
UA01020170060067566,0120482507,С,Тургенєвка
UA01020170070056496,0120482506,Х,Сирень
UA01020190000077808,0120482900,Н,Зеленівська 
UA01020190010051671,0120482901,С,Зелене
UA01020190020045232,0120482902,С,Богатир
UA01020190030083840,0120482903,С,Многоріччя
UA01020190040049837,0120482904,С,Нагірне
UA01020190050073256,0120482905,С,Плотинне
UA01020190060074109,0120482906,С,Щасливе
UA01020210000031011,8536310300,Н,Інкерманська 
UA01020210010017308,8536310300,М,Інкерман
UA01020230000086125,8536965300,Н,Качинська 
UA01020230010099876,8536965300,Т,Кача
UA01020230020084271,8536965301,С,Вишневе
UA01020230030045170,8536965303,С,Орлівка
UA01020230040072585,8536965305,С,Осипенко
UA01020230050045167,8536965307,С,Полюшко
UA01020250000083187,0120483600,Н,Каштанівська 
UA01020250010041753,0120483601,С,Каштани
UA01020250020012476,0120483602,С,Відрадне
UA01020250030075002,0120483603,С,Кочергіне
UA01020250040058984,0120483604,С,Шевченкове
UA01020270000095791,0120483900,Н,Красномацька 
UA01020270010094080,0120483901,С,Красний Мак
UA01020270020068295,0120483902,С,Залісне
UA01020270030032403,0120483905,С,Ходжа Сала
UA01020270040076507,0120483903,С,Холмівка
UA01020290000023695,0120455300,Н,Куйбишевська
UA01020290010096881,0120455300,Т,Албат
UA01020290020050353,0120455301,С,Велике Садове
UA01020290030054725,0120455302,С,Високе
UA01020290040021024,0120455303,С,Мале Садове
UA01020290050070320,0120455304,С,Отарчик
UA01020290060054662,0120455305,С,Танкове
UA01020310000028500,8536390700,Н,Орлинівська 
UA01020310010021633,8536390701,С,Орлине
